name,career,last10,lwin,wins,places,tj,jh,twelveMonth,season,track,distance,trackDistance,firm,good,soft,heavy,wet,hclass,roi,is_winner
11. Royal Choisir,0.16,0.17,0.09,0.03,0.16,0.11,0.00,0.17,0.14,0.13,0.00,0.00,0.00,0.14,0.20,0.00,0.20,0.36,-0.86,0.00
1. Buster Bash,0.60,0.40,0.01,0.20,0.60,0.10,0.67,0.50,0.75,0.50,1.00,0.00,0.00,0.40,0.67,1.00,0.80,0.50,-0.16,1.00
2. What About Moi,0.53,0.21,0.02,0.20,0.53,0.29,0.33,0.33,0.50,0.00,0.33,0.00,0.00,0.64,0.25,0.00,0.25,1.00,0.08,0.00
3. Shoes Of Ekraar,0.22,0.18,0.02,0.13,0.22,0.29,0.20,0.00,0.17,0.25,0.13,0.33,0.00,0.31,0.00,0.00,0.00,0.14,0.74,0.00
4. Strike Now,1.00,0.75,0.03,0.67,1.00,0.18,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.45,1.00
5. Trade Master,0.24,0.17,0.02,0.08,0.24,0.04,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.24,0.33,0.00,0.25,0.50,-0.61,0.00
6. There's A Thought,0.47,0.29,0.02,0.12,0.47,0.00,0.00,0.50,0.63,0.20,1.00,0.00,0.00,0.50,0.40,0.00,0.40,0.33,-0.28,0.00
7. Strawberry Mist,0.27,0.23,0.01,0.13,0.27,0.14,0.00,0.00,0.00,0.00,0.67,0.00,0.00,0.11,0.50,0.50,0.50,0.00,-0.49,0.00
8. Wild Galah,0.31,0.28,0.03,0.05,0.31,0.00,0.00,0.57,0.50,0.14,0.50,0.00,0.00,0.33,0.14,0.00,0.14,0.29,-0.69,1.00
9. All In A Day,0.16,0.17,0.10,0.08,0.16,0.11,0.20,0.50,0.14,0.00,0.17,0.00,0.00,0.20,0.14,0.00,0.11,0.00,-0.22,1.00
10. Casa Rosada,0.20,0.17,0.01,0.12,0.20,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.21,0.17,0.00,0.17,0.00,-0.57,0.00
