name,career,last10,lwin,wins,places,tj,jh,twelveMonth,season,track,distance,trackDistance,firm,good,soft,heavy,wet,hclass,roi,is_winner
11. Disco Donut,0.625,0.26666666666666666,0.33333333333333337,0.25,0.63,0.21,1.0,0.625,1.0,0.6666666666666666,0.0,0.0,0.0,0.5714285714285714,1.0,0.0,1.0,0.0,1.81,0
8. Featherweight,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1. True Attraction,0.5151515151515151,0.22580645161290322,0.027777777777777776,0.27,0.52,0.0,0.0,0.3333333333333333,0.0,0.35714285714285715,0.5,0.5,0.0,0.45454545454545453,0.5555555555555556,1.0,0.6363636363636364,0.5555555555555556,0.73,0
2. Stafford's Lad,0.36764705882352944,0.16,0.16666666666666669,0.13,0.37,0.24,0.4166666666666667,0.4166666666666667,0.4,0.2,0.16666666666666666,0.0,0.0,0.38333333333333336,0.2857142857142857,0.0,0.25,0.5454545454545454,-0.28,0
3. Utgard Loki,0.48717948717948717,0.21428571428571427,0.029411764705882356,0.15,0.49,0.23,0.52,0.3333333333333333,0.0,0.4583333333333333,0.3333333333333333,0.3333333333333333,0.0,0.4857142857142857,0.3333333333333333,1.0,0.5,0.375,2.2,0
4. Black Shadow,0.4230769230769231,0.21212121212121213,0.020833333333333336,0.19,0.42,0.15,0.3870967741935484,0.4444444444444444,0.0,0.4444444444444444,1.0,1.0,0.0,0.3783783783783784,0.5,0.6666666666666666,0.5333333333333333,0.5,0.77,0
5. Buster Bash,0.6842105263157895,0.42857142857142855,0.25,0.37,0.68,0.18,0.8,0.7272727272727273,1.0,0.7142857142857143,1.0,1.0,0.0,0.6,0.8,0.75,0.7777777777777778,0.0,0.33,1
6. Bad Wolf,0.36923076923076925,0.1794871794871795,0.015873015873015872,0.15,0.37,0.0,0.0,0.18181818181818182,0.16666666666666666,0.42857142857142855,1.0,1.0,0.0,0.43243243243243246,0.2692307692307692,0.5,0.2857142857142857,0.2857142857142857,0.32,1
7. Baramagic,0.3333333333333333,0.19047619047619047,0.03571428571428572,0.12,0.33,0.0,0.0,0.3,0.5,0.3333333333333333,0.4,0.4,0.0,0.38235294117647056,0.14285714285714285,0.0,0.125,0.0,0.39,0
8. Billy Ray,0.6,0.34615384615384615,0.047619047619047616,0.25,0.6,0.0,0.0,0.45454545454545453,0.0,0.3333333333333333,0.0,0.0,0.0,0.5,0.8,1.0,0.8333333333333334,0.0,0.0,1
9. Come Right Back,0.6,0.30434782608695654,0.025,0.3,0.6,0.22,0.0,0.45454545454545453,0.0,0.47368421052631576,1.0,1.0,0.0,0.5769230769230769,0.75,0.0,0.75,0.3333333333333333,-0.1,0
10. Floyd,0.4523809523809524,0.1568627450980392,0.09090909090909091,0.17,0.45,0.03,0.0,0.08333333333333333,0.0,0.42857142857142855,0.0,0.0,0.0,0.4444444444444444,0.5384615384615384,0.0,0.4666666666666667,0.25,-0.54,0
11. Holy Enchantment,0.7857142857142857,0.5,0.026315789473684213,0.21,0.79,0.18,0.8181818181818182,1.0,0.0,0.8333333333333334,0.75,0.6666666666666666,0.0,0.8333333333333334,0.5,0.0,0.5,1.0,-0.29,0
12. Lady Chant,0.5555555555555556,0.3,0.030303030303030304,0.11,0.56,0.21,0.0,0.5555555555555556,0.0,0.5,0.5,0.5,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.56,0
13. Pure Devotion,0.6923076923076923,0.3076923076923077,0.0196078431372549,0.31,0.69,0.28,0.8333333333333334,0.4,0.0,0.6363636363636364,1.0,1.0,0.0,0.6666666666666666,1.0,0.0,1.0,0.75,-0.34,1
1. Laced Up Heels,0.6,0.29411764705882354,0.5,0.6,0.6,0.16,0.6666666666666666,0.6,0.6,0.6666666666666666,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,3.06,1
2. Penny On The Queen,0.4444444444444444,0.23076923076923078,0.027027027027027025,0.11,0.44,0.08,0.0,0.4444444444444444,0.0,0.375,0.0,0.0,0.0,0.4444444444444444,0.0,0.0,0.0,0.5,-0.22,0
3. Vampi At Play,0.8333333333333334,0.375,0.052631578947368425,0.17,0.83,0.07,0.6666666666666666,0.8333333333333334,0.5,0.6666666666666666,0.0,0.0,0.0,0.75,1.0,0.0,1.0,0.0,-0.68,0
4. Miss Drakova,0.8571428571428571,0.35,0.2,0.14,0.86,0.09,1.0,1.0,1.0,0.8,0.0,0.0,0.0,0.8,1.0,0.0,1.0,0.0,-0.7,0
5. Sesswa,0.5,0.3157894736842105,0.33333333333333337,0.33,0.5,0.12,0.5,0.5,0.5,0.6666666666666666,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.7,1
6. Legacy Of Tara,0.75,0.36363636363636365,0.5,0.75,0.75,0.21,0.5,0.75,0.75,1.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.6666666666666666,0.0,2.03,0
7. Ex Sport Girl,0.6666666666666666,0.35294117647058826,0.08333333333333334,0.17,0.67,0.14,1.0,0.6666666666666666,1.0,0.3333333333333333,0.0,0.0,0.0,0.6,1.0,0.0,1.0,0.0,-0.67,0
8. Yarralea,0.6,0.36363636363636365,0.14285714285714288,0.2,0.6,0.13,0.5,0.6,0.75,0.0,0.0,0.0,0.0,0.5,1.0,0.0,1.0,0.0,0.9,0
9. Bonjoy,1.0,0.6,0.07692307692307693,0.33,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0
10. Linden Lady,0.8,0.3333333333333333,0.25,0.2,0.8,0.3,0.0,0.8,0.75,0.0,1.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,-0.48,1
11. Royal Elite,0.25,0.23529411764705882,0.25,0.25,0.25,0.14,0.0,0.25,0.3333333333333333,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.75,0
12. Admiration Express,0.6666666666666666,0.2727272727272727,0.0,0.0,0.67,0.0,0.0,0.6666666666666666,0.6666666666666666,0.5,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,-1.0,1
1. Elite Street,0.631578947368421,0.4666666666666667,0.038461538461538464,0.53,0.63,0.24,1.0,1.0,0.0,0.8888888888888888,1.0,1.0,0.0,0.6428571428571429,0.6,0.0,0.6,0.8333333333333334,2.83,1
2. Laverrod,0.7241379310344828,0.2631578947368421,0.012195121951219513,0.24,0.72,0.29,0.6666666666666666,0.4,0.0,0.6666666666666666,0.75,0.6666666666666666,0.0,0.7307692307692307,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.0,0
3. Red Can Man,0.5757575757575758,0.22857142857142856,0.014285714285714285,0.24,0.58,0.14,0.5789473684210527,0.375,0.0,0.5625,0.625,0.75,0.0,0.68,0.2857142857142857,0.0,0.25,0.5,-0.06,1
4. Indian Pacific,0.6521739130434783,0.2,0.010309278350515462,0.3,0.65,0.09,0.6842105263157895,0.2,0.5,0.6153846153846154,0.3333333333333333,0.5,0.0,0.6111111111111112,0.75,1.0,0.8,0.6,-0.05,1
5. Money Matters,0.6071428571428571,0.20833333333333334,0.012820512820512822,0.36,0.61,0.08,0.0,0.25,0.5,0.45454545454545453,0.5,0.0,0.0,0.5789473684210527,0.6666666666666666,0.0,0.6666666666666666,0.42857142857142855,0.65,0
6. Outrageous,0.2682926829268293,0.16666666666666666,0.1,0.12,0.27,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.2647058823529412,0.2,0.5,0.2857142857142857,0.25,-0.26,0
7. Nerodio,0.7666666666666667,0.27586206896551724,0.07692307692307693,0.37,0.77,0.26,0.7333333333333333,0.625,0.75,0.7777777777777778,0.0,0.0,0.0,0.7777777777777778,0.7,1.0,0.75,0.0,0.59,0
8. Comes A Time,0.7333333333333333,0.6,0.14285714285714288,0.27,0.73,0.33,0.8571428571428571,0.9090909090909091,0.8,0.6470588235294118,0.5,0.5,0.0,0.7142857142857143,0.8333333333333334,0.6666666666666666,0.7777777777777778,0.0,-0.16,0
9. Pandemic,0.5,0.25,0.010204081632653062,0.23,0.5,0.12,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.5789473684210527,0.0,0.0,0.0,0.3333333333333333,-0.44,0
10. Miss Conteki,0.875,0.5384615384615384,0.5,0.69,0.88,0.2,1.0,1.0,1.0,0.9230769230769231,1.0,1.0,0.0,0.9285714285714286,1.0,0.0,0.5,1.0,0.67,0
11. Amasenus,0.625,0.3,0.03571428571428572,0.42,0.63,0.0,0.0,0.5,0.0,0.5454545454545454,0.0,0.0,0.0,0.5294117647058824,0.8333333333333334,1.0,0.8571428571428571,0.3333333333333333,1.43,0
12. Jericho Missile,0.34146341463414637,0.16326530612244897,0.0136986301369863,0.1,0.34,0.0,0.0,0.18181818181818182,0.2,0.2777777777777778,1.0,1.0,0.0,0.375,0.21428571428571427,0.6666666666666666,0.29411764705882354,0.0,-0.29,0
13. This'll Testya,0.6363636363636364,0.38095238095238093,0.025641025641025644,0.27,0.64,0.17,1.0,0.75,1.0,0.5333333333333333,1.0,1.0,0.0,0.6666666666666666,0.5,0.0,0.5,1.0,0.48,1
14. Wilchino,0.6666666666666666,0.5555555555555556,0.06666666666666667,0.6,0.67,0.24,0.8,0.25,0.0,0.625,0.0,0.0,0.0,0.5714285714285714,0.6666666666666666,1.0,0.75,0.0,0.52,0
15. Express Time,0.6296296296296297,0.5714285714285714,0.03333333333333333,0.41,0.63,0.09,0.8,0.8,0.0,0.6875,0.6666666666666666,0.6666666666666666,0.0,0.6470588235294118,0.7142857142857143,0.3333333333333333,0.6,0.0,1.14,0
2. Kosta's Crown,0.7,0.3333333333333333,0.33333333333333337,0.1,0.7,0.09,0.8,0.7142857142857143,0.75,0.75,0.5,0.5,0.0,0.8571428571428571,0.3333333333333333,0.0,0.3333333333333333,1.0,-0.86,0
3. Just Go,0.6666666666666666,0.35294117647058826,0.1111111111111111,0.33,0.67,0.13,1.0,0.6666666666666666,0.8,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.0,3.17,1
4. Prawns Eleven,1.0,0.625,0.33333333333333337,0.6,1.0,0.31,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.36,0
5. Sunny Honey,0.25,0.23076923076923078,0.022727272727272728,0.25,0.25,0.09,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,3.5,0
6. Revitup,0.8888888888888888,0.5714285714285714,0.0625,0.56,0.89,0.31,0.0,0.875,0.0,1.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.6666666666666666,0.0,1.5,1
8. Rumour Says,0.75,0.4,0.047619047619047616,0.5,0.75,0.0,0.0,0.75,0.5,0.5,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,1.0,0.0,1.41,0
9. All Show,0.75,0.4,0.14285714285714288,0.25,0.75,0.17,0.6666666666666666,0.75,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,1.0,0.0,-0.13,0
10. My Bella Mae,1.0,1.0,0.09090909090909091,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.08,1
11. Wild Belle,0.6666666666666666,0.3333333333333333,0.5,0.67,0.67,0.16,1.0,0.6666666666666666,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.02,1
12. Invincible Ruby,0.6666666666666666,0.42857142857142855,0.07142857142857144,0.33,0.67,0.0,0.0,0.6666666666666666,0.6666666666666666,0.5,0.0,0.0,0.0,0.5,0.0,1.0,1.0,0.0,7.67,0
13. Fashion Stakes,0.75,0.2857142857142857,0.0,0.0,0.75,0.07,0.0,0.75,1.0,1.0,0.5,0.0,0.0,0.75,0.0,0.0,0.0,0.0,-1.0,0
7. Baby Paris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1. Street Parade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1. Last Of The Line,0.625,0.22727272727272727,0.052631578947368425,0.44,0.63,0.18,0.25,0.25,0.0,0.7,1.0,1.0,0.0,0.75,0.25,0.0,0.25,0.0,0.73,1
2. Jadavi,0.3888888888888889,0.2647058823529412,0.03125,0.19,0.39,0.5,1.0,0.5555555555555556,0.0,0.5,0.25,0.0,0.0,0.4,0.3333333333333333,0.0,0.3333333333333333,0.0,1.11,0
3. Neufbosc,0.27906976744186046,0.16666666666666666,0.010309278350515462,0.14,0.28,0.12,0.25,0.1111111111111111,0.0,0.3125,0.0,0.0,0.0,0.3225806451612903,0.0,0.0,0.0,0.1111111111111111,0.33,0
4. Platoon,0.44,0.16666666666666666,0.01098901098901099,0.1,0.44,0.07,0.5161290322580645,0.18181818181818182,0.0,0.4594594594594595,0.75,0.75,0.0,0.45652173913043476,0.25,0.0,0.25,0.3333333333333333,-0.28,0
5. Eeyore Wayz,0.4722222222222222,0.2631578947368421,0.04166666666666667,0.19,0.47,0.06,0.4230769230769231,0.5555555555555556,0.5,0.2857142857142857,0.0,0.0,0.0,0.4,0.5714285714285714,0.5,0.5625,0.0,0.46,0
6. Dom To Shoot,0.5925925925925926,0.25806451612903225,0.027027027027027025,0.19,0.59,0.14,0.25,0.5,0.0,0.6190476190476191,0.3333333333333333,0.3333333333333333,0.0,0.5925925925925926,0.0,0.0,0.0,0.3333333333333333,0.46,0
7. Let's Galahvant,0.6875,0.4,0.16666666666666669,0.5,0.69,0.13,0.5714285714285714,0.7142857142857143,0.8333333333333334,0.0,0.0,0.0,0.0,0.5555555555555556,0.8333333333333334,1.0,0.8571428571428571,0.0,1.29,1
8. Chili Is Hot,0.4666666666666667,0.25806451612903225,0.020833333333333336,0.17,0.47,0.0,0.0,0.4666666666666667,0.0,0.2222222222222222,0.0,0.0,0.0,0.2727272727272727,1.0,1.0,1.0,0.0,0.32,0
9. Cockney Crew,0.43333333333333335,0.18181818181818182,0.012658227848101267,0.17,0.43,0.0,0.5,0.125,0.0,0.3157894736842105,0.5,0.5,0.0,0.4,0.6,0.0,0.6,1.0,-0.43,0
10. Devoted,0.6666666666666666,0.2962962962962963,0.047619047619047616,0.44,0.67,0.0,0.6666666666666666,0.6666666666666666,0.0,0.4,0.0,0.0,0.0,0.5714285714285714,1.0,0.0,1.0,0.0,0.18,1
11. Playing Marika,0.4489795918367347,0.23529411764705882,0.018518518518518517,0.18,0.45,0.15,0.5,0.3333333333333333,0.3333333333333333,0.36,1.0,0.0,0.0,0.4857142857142857,0.38461538461538464,0.0,0.35714285714285715,1.0,0.7,0
12. Searchin' Roc's,0.6923076923076923,0.35,0.052631578947368425,0.46,0.69,0.08,0.7272727272727273,0.5,0.0,0.6,0.0,0.0,0.0,0.5,1.0,1.0,1.0,0.5,1.35,1
13. Speed Dream,0.7083333333333334,0.36,0.04,0.13,0.71,0.11,0.7368421052631579,0.75,0.5,0.6428571428571429,0.0,0.0,0.0,0.7368421052631579,0.6,0.0,0.6,0.0,-0.26,0
1. Swim Through,0.3333333333333333,0.2222222222222222,0.2,0.22,0.33,0.15,1.0,0.3333333333333333,0.3333333333333333,0.25,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.6666666666666666,0.39,1
2. Busters Free,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0
